"","x"
"GO:0000002","GO:0000070"
"GO:0000012","GO:0000082"
"GO:0000018","GO:0000278"
"GO:0000022","GO:0000281"
"GO:0000023","GO:0000387"
"GO:0000027","GO:0000462"
"GO:0000028","GO:0002223"
"GO:0000038","GO:0002224"
"GO:0000045","GO:0002479"
"GO:0000050","GO:0006090"
"GO:0000052","GO:0006094"
"GO:0000053","GO:0006099"
"GO:0000054","GO:0006139"
"GO:0000055","GO:0006260"
"GO:0000056","GO:0006302"
"GO:0000070","GO:0006303"
"GO:0000076","GO:0006409"
"GO:0000077","GO:0006418"
"GO:0000079","GO:0006457"
"GO:0000082","GO:0006521"
"GO:0000083","GO:0007052"
"GO:0000086","GO:0007059"
"GO:0000096","GO:0007080"
"GO:0000098","GO:0007286"
"GO:0000103","GO:0010498"
"GO:0000105","GO:0010499"
"GO:0000117","GO:0010971"
"GO:0000122","GO:0010972"
"GO:0000132","GO:0016032"
"GO:0000147","GO:0016579"
"GO:0000154","GO:0021762"
"GO:0000165","GO:0031100"
"GO:0000183","GO:0031145"
"GO:0000184","GO:0032508"
"GO:0000185","GO:0034080"
"GO:0000186","GO:0035722"
"GO:0000187","GO:0036297"
"GO:0000188","GO:0038061"
"GO:0000209","GO:0038096"
"GO:0000212","GO:0045070"
"GO:0000226","GO:0045739"
"GO:0000244","GO:0048013"
"GO:0000245","GO:0051225"
"GO:0000266","GO:0051290"
"GO:0000278","GO:0051301"
"GO:0000281","GO:0055085"
"GO:0000288","GO:0060071"
"GO:0000289","GO:0061418"
"GO:0000290","GO:0061621"
"GO:0000291","GO:0070207"
"GO:0000296","GO:0070498"
"GO:0000301","GO:0070534"
"GO:0000302","GO:0070536"
"GO:0000303","GO:0090263"
"GO:0000304","GO:0090502"
"GO:0000320","GO:0097421"
"GO:0000338","GO:1900740"
"GO:0000349","GO:1901990"
"GO:0000350","GO:1901998"
"GO:0000354","GO:1902036"
"GO:0000375","GO:1990830"
"GO:0000379","GO:0000307"
"GO:0000380","GO:0000502"
"GO:0000381","GO:0000775"
"GO:0000387","GO:0000776"
"GO:0000389","GO:0000777"
"GO:0000395","GO:0000784"
"GO:0000398","GO:0005643"
"GO:0000413","GO:0005689"
"GO:0000416","GO:0005730"
"GO:0000422","GO:0005763"
"GO:0000423","GO:0005819"
"GO:0000430","GO:0005839"
"GO:0000432","GO:0005871"
"GO:0000447","GO:0030496"
"GO:0000451","GO:0032040"
"GO:0000453","GO:0034774"
"GO:0000454","GO:0035861"
"GO:0000460","GO:0051233"
"GO:0000461","GO:1904813"
"GO:0000462","GO:0000049"
"GO:0000463","GO:0000287"
"GO:0000466","GO:0000979"
"GO:0000467","GO:0003678"
"GO:0000469","GO:0003690"
"GO:0000470","GO:0003697"
"GO:0000492","GO:0004298"
"GO:0000493","GO:0004843"
"GO:0000494","GO:0005200"
"GO:0000495","GO:0008047"
"GO:0000578","GO:0008143"
"GO:0000710","GO:0008266"
"GO:0000712","GO:0016740"
"GO:0000715","GO:0042393"
"GO:0000717","GO:0051020"
"GO:0000720","GO:0051287"
"GO:0000722","GO:0061631"
"GO:0000723","GO:0070628"
