"","x"
"GO:0000002","GO:0001658"
"GO:0000012","GO:0001843"
"GO:0000018","GO:0001942"
"GO:0000022","GO:0006605"
"GO:0000023","GO:0007050"
"GO:0000027","GO:0007219"
"GO:0000028","GO:0007224"
"GO:0000038","GO:0007268"
"GO:0000045","GO:0007399"
"GO:0000050","GO:0007417"
"GO:0000052","GO:0007517"
"GO:0000053","GO:0007519"
"GO:0000054","GO:0008150"
"GO:0000055","GO:0008219"
"GO:0000056","GO:0008544"
"GO:0000070","GO:0008625"
"GO:0000076","GO:0016311"
"GO:0000077","GO:0030154"
"GO:0000079","GO:0030308"
"GO:0000082","GO:0031122"
"GO:0000083","GO:0032008"
"GO:0000086","GO:0034198"
"GO:0000096","GO:0040014"
"GO:0000098","GO:0042594"
"GO:0000103","GO:0043410"
"GO:0000105","GO:0043433"
"GO:0000117","GO:0046326"
"GO:0000122","GO:0048813"
"GO:0000132","GO:0051260"
"GO:0000147","GO:0060041"
"GO:0000154","GO:0060070"
"GO:0000165","GO:0060271"
"GO:0000183","GO:0060349"
"GO:0000184","GO:0071300"
"GO:0000185","GO:0090503"
"GO:0000186","GO:2000134"
"GO:0000187","GO:0005929"
"GO:0000188","GO:0005930"
"GO:0000209","GO:0031463"
"GO:0000212","GO:0031514"
"GO:0000226","GO:0031526"
"GO:0000244","GO:0036064"
"GO:0000245","GO:0043005"
"GO:0000266","GO:0045202"
"GO:0000278","GO:0071944"
"GO:0000281","GO:0000149"
"GO:0000288","GO:0000166"
"GO:0000289","GO:0000175"
"GO:0000290","GO:0000977"
"GO:0000291","GO:0003674"
"GO:0000296","GO:0003676"
"GO:0000301","GO:0003774"
"GO:0000302","GO:0005507"
"GO:0000303","GO:0017147"
"GO:0000304","GO:0030170"
