"","x"
"GO:0000002","GO:0001933"
"GO:0000012","GO:0006486"
"GO:0000018","GO:0006936"
"GO:0000022","GO:0007219"
"GO:0000023","GO:0007623"
"GO:0000027","GO:0008219"
"GO:0000028","GO:0008284"
"GO:0000038","GO:0008544"
"GO:0000045","GO:0010468"
"GO:0000050","GO:0030216"
"GO:0000052","GO:0030855"
"GO:0000053","GO:0031032"
"GO:0000054","GO:0035914"
"GO:0000055","GO:0042130"
"GO:0000056","GO:0042594"
"GO:0000070","GO:0042981"
"GO:0000076","GO:0043065"
"GO:0000077","GO:0043392"
"GO:0000079","GO:0045471"
"GO:0000082","GO:0048146"
"GO:0000083","GO:0051781"
"GO:0000086","GO:0055072"
"GO:0000096","GO:0070536"
"GO:0000098","GO:0071300"
"GO:0000103","GO:0071479"
"GO:0000105","GO:0098609"
"GO:0000117","GO:1900087"
"GO:0000122","GO:2000134"
"GO:0000132","GO:0005913"
"GO:0000147","GO:0045177"
"GO:0000154","GO:0045202"
"GO:0000165","GO:0071944"
"GO:0000183","GO:0005200"
"GO:0000184","GO:0008307"
"GO:0000185","GO:0036459"
"GO:0000186","GO:0098641"
