"","x"
"GO:0000002","GO:0000381"
"GO:0000012","GO:0001701"
"GO:0000018","GO:0001755"
"GO:0000022","GO:0001764"
"GO:0000023","GO:0001822"
"GO:0000027","GO:0006355"
"GO:0000028","GO:0006357"
"GO:0000038","GO:0007193"
"GO:0000045","GO:0007264"
"GO:0000050","GO:0007411"
"GO:0000052","GO:0007517"
"GO:0000053","GO:0007565"
"GO:0000054","GO:0007601"
"GO:0000055","GO:0008333"
"GO:0000056","GO:0008584"
"GO:0000070","GO:0009653"
"GO:0000076","GO:0009749"
"GO:0000077","GO:0009791"
"GO:0000079","GO:0009887"
"GO:0000082","GO:0009888"
"GO:0000083","GO:0010033"
"GO:0000086","GO:0010595"
"GO:0000096","GO:0010629"
"GO:0000098","GO:0016055"
"GO:0000103","GO:0030100"
"GO:0000105","GO:0030336"
"GO:0000117","GO:0030521"
"GO:0000122","GO:0032355"
"GO:0000132","GO:0032956"
"GO:0000147","GO:0032967"
"GO:0000154","GO:0034097"
"GO:0000165","GO:0035023"
"GO:0000183","GO:0042733"
"GO:0000184","GO:0043434"
"GO:0000185","GO:0043627"
"GO:0000186","GO:0045599"
"GO:0000187","GO:0045786"
"GO:0000188","GO:0045944"
"GO:0000209","GO:0048041"
"GO:0000212","GO:0048839"
"GO:0000226","GO:0050714"
"GO:0000244","GO:0051028"
"GO:0000245","GO:0051056"
"GO:0000266","GO:0060271"
"GO:0000278","GO:0060548"
"GO:0000281","GO:0071353"
"GO:0000288","GO:0000123"
"GO:0000289","GO:0000790"
"GO:0000290","GO:0005795"
"GO:0000291","GO:0005929"
"GO:0000296","GO:0005938"
"GO:0000301","GO:0017053"
"GO:0000302","GO:0030315"
"GO:0000303","GO:0036064"
"GO:0000304","GO:0000976"
"GO:0000320","GO:0000977"
"GO:0000338","GO:0000978"
"GO:0000349","GO:0000981"
"GO:0000350","GO:0001102"
"GO:0000354","GO:0001103"
"GO:0000375","GO:0001227"
"GO:0000379","GO:0001228"
"GO:0000380","GO:0003700"
"GO:0000381","GO:0003774"
"GO:0000387","GO:0004879"
"GO:0000389","GO:0005089"
"GO:0000395","GO:0005096"
"GO:0000398","GO:0005154"
"GO:0000413","GO:0005543"
"GO:0000416","GO:0017137"
"GO:0000422","GO:0019838"
"GO:0000423","GO:0043565"
"GO:0000430","GO:0044212"
"GO:0000432","GO:0070888"
