"","x"
"GO:0000002","GO:0000188"
"GO:0000012","GO:0006487"
"GO:0000018","GO:0006898"
"GO:0000022","GO:0007162"
"GO:0000023","GO:0007163"
"GO:0000027","GO:0008203"
"GO:0000028","GO:0009306"
"GO:0000038","GO:0009967"
"GO:0000045","GO:0010507"
"GO:0000050","GO:0010508"
"GO:0000052","GO:0014065"
"GO:0000053","GO:0014070"
"GO:0000054","GO:0016266"
"GO:0000055","GO:0018279"
"GO:0000056","GO:0022900"
"GO:0000070","GO:0030307"
"GO:0000076","GO:0030433"
"GO:0000077","GO:0031623"
"GO:0000079","GO:0032091"
"GO:0000082","GO:0032436"
"GO:0000083","GO:0032515"
"GO:0000086","GO:0034976"
"GO:0000096","GO:0038096"
"GO:0000098","GO:0038128"
"GO:0000103","GO:0042552"
"GO:0000105","GO:0042742"
"GO:0000117","GO:0043312"
"GO:0000122","GO:0043406"
"GO:0000132","GO:0043542"
"GO:0000147","GO:0045648"
"GO:0000154","GO:0045765"
"GO:0000165","GO:0045785"
"GO:0000183","GO:0050790"
"GO:0000184","GO:0050900"
"GO:0000185","GO:0061024"
"GO:0000186","GO:0071363"
"GO:0000187","GO:0072659"
"GO:0000188","GO:0090314"
"GO:0000209","GO:0005791"
"GO:0000212","GO:0005793"
"GO:0000226","GO:0005811"
"GO:0000244","GO:0005887"
"GO:0000245","GO:0009898"
"GO:0000266","GO:0030864"
"GO:0000278","GO:0033116"
"GO:0000281","GO:0035577"
"GO:0000288","GO:0035579"
"GO:0000289","GO:0042470"
"GO:0000290","GO:0042995"
"GO:0000291","GO:0098978"
"GO:0000296","GO:0001784"
"GO:0000301","GO:0004860"
"GO:0000302","GO:0004888"
"GO:0000303","GO:0005070"
"GO:0000304","GO:0005546"
"GO:0000320","GO:0008022"
"GO:0000338","GO:0019838"
"GO:0000349","GO:0019903"
"GO:0000350","GO:0050661"
