"","x"
"GO:0000002","GO:0006294"
"GO:0000012","GO:0006298"
"GO:0000018","GO:0006351"
"GO:0000022","GO:0006661"
"GO:0000023","GO:0006874"
"GO:0000027","GO:0006886"
"GO:0000028","GO:0006888"
"GO:0000038","GO:0006897"
"GO:0000045","GO:0006914"
"GO:0000050","GO:0006986"
"GO:0000052","GO:0008286"
"GO:0000053","GO:0014065"
"GO:0000054","GO:0015031"
"GO:0000055","GO:0016601"
"GO:0000056","GO:0030100"
"GO:0000070","GO:0030218"
"GO:0000076","GO:0030968"
"GO:0000077","GO:0031648"
"GO:0000079","GO:0032091"
"GO:0000082","GO:0032436"
"GO:0000083","GO:0032482"
"GO:0000086","GO:0032869"
"GO:0000096","GO:0032922"
"GO:0000098","GO:0033572"
"GO:0000103","GO:0034220"
"GO:0000105","GO:0034976"
"GO:0000117","GO:0035735"
"GO:0000122","GO:0036258"
"GO:0000132","GO:0042147"
"GO:0000147","GO:0042307"
"GO:0000154","GO:0042752"
"GO:0000165","GO:0043536"
"GO:0000183","GO:0045732"
"GO:0000184","GO:0048208"
"GO:0000185","GO:0050690"
"GO:0000186","GO:0050772"
"GO:0000187","GO:0070059"
"GO:0000188","GO:0071902"
"GO:0000209","GO:0072659"
"GO:0000212","GO:0090314"
"GO:0000226","GO:0097191"
"GO:0000244","GO:1900182"
"GO:0000245","GO:0005770"
"GO:0000266","GO:0005776"
"GO:0000278","GO:0005902"
"GO:0000281","GO:0012505"
"GO:0000288","GO:0030136"
"GO:0000289","GO:0031410"
"GO:0000290","GO:0031526"
"GO:0000291","GO:0032588"
"GO:0000296","GO:0033116"
"GO:0000301","GO:0043231"
"GO:0000302","GO:0097542"
"GO:0000303","GO:0098794"
"GO:0000304","GO:0003714"
"GO:0000320","GO:0005080"
"GO:0000338","GO:0008289"
"GO:0000349","GO:0019902"
"GO:0000350","GO:0030170"
"GO:0000354","GO:0030276"
"GO:0000375","GO:0030742"
"GO:0000379","GO:0031593"
"GO:0000380","GO:0031625"
"GO:0000381","GO:0042803"
"GO:0000387","GO:0043130"
"GO:0000389","GO:0046961"
"GO:0000395","GO:0051539"
"GO:0000398","GO:0051721"
